tot_income,tot_expenditure,education_expenditure
128482,44776,0
91750,52603,425
76440,35499,0
271671,154431,1595
713785,88713,46000
77519,55211,300
110650,67226,900
884124,137662,24000
167752,105575,530
257148,55340,1620
314919,164980,10150
253620,80621,0
535011,111989,2660
364283,178152,8120
87071,19618,0
100971,55270,2675
222122,84914,350
57641,20986,0
417264,152479,3215
73349,46761,0
1032419,133165,0
210147,79908,0
552968,113673,1580
59145,44180,830
319898,137068,560
352434,112297,37480
166886,123288,16630
273504,69938,101500
1145046,271102,1450
675222,183404,260
242880,128132,560
209775,95394,600
1385000,91594,0
194006,53230,0
248843,118821,2185
130653,69979,23620
239486,79832,1900
109764,55981,7596
332951,139980,16981
200264,70729,3160
110884,49117,0
175808,87845,649
204132,71763,5750
114865,70189,2326
102077,60038,0
106385,60395,0
87921,54863,1250
97390,51003,0
199690,56900,24382
144909,49790,279
217425,72276,700
233498,81422,2000
518496,125006,51000
223149,91272,11510
270460,149737,3629
176410,66256,0
107767,32895,0
115058,63048,0
194190,61951,0
70997,49280,0
59196,27559,325
67130,27815,0
152075,97776,850
113020,88701,3250
568694,226740,10100
245272,92014,510
89151,71119,2130
76613,52164,1130
110740,56753,0
125818,70112,7325
541330,88004,1300
114954,69050,0
502427,104102,17541
85955,53881,0
372381,62881,10530
54392,42001,0
216324,112105,7250
258680,104068,19840
479132,181652,23000
123091,59776,1260
157652,69745,2888
92604,40371,380
109760,55613,950
188163,76141,25690
136952,98493,5250
132920,66544,35480
100427,53697,5800
378795,102029,8280
303390,209259,0
191600,105729,31050
269480,128204,2235
313980,150087,220
107311,37920,200
68098,52809,900
168049,111056,2400
100224,46368,0
170305,81425,900
74066,41916,0
1486257,342921,200100
118193,53560,0
535726,88704,0
395370,83166,0
121806,43401,2185
230915,89004,19140
199913,79870,950
66721,25270,0
171274,120082,14450
334049,61189,13030
70843,35478,0
580205,87185,30350
152046,90866,300
892601,252392,19362
60305,33140,1150
126430,59853,0
279932,124758,0
116466,37507,0
69504,31979,0
550932,98017,89480
252669,52350,35000
20718,13178,0
313970,186310,1000
559389,131200,1095
114875,57717,500
110096,41068,0
207640,76075,0
517777,192721,132370
308855,67604,0
61740,32870,0
483215,150380,150
272745,69128,0
124420,95234,1351
322650,82039,1880
169755,110405,14800
1010048,198077,50400
235428,131753,1370
139487,128968,1392
178106,96212,608
46297,21560,0
103953,74252,9725
496938,110909,131900
82619,37443,0
625296,92577,56100
740572,193085,97600
504038,160840,25750
145907,72078,1700
93798,28555,0
93115,78925,920
77397,24448,0
336640,142557,46550
113736,38635,0
85200,58159,0
127083,45175,21650
203530,92335,18580
296445,123461,6250
194240,97530,0
63102,17951,0
107196,63566,1337
34588,12905,0
71682,58552,330
262235,99087,1464
100658,52374,0
211628,99842,22880
148630,97146,1650
205045,117777,1580
125734,73976,1794
124714,69058,400
69847,28864,0
390344,168860,0
388675,140580,610
246668,165285,4950
106793,78477,500
178488,81983,0
177205,49264,7400
146015,54747,660
284960,128784,46000
331554,129789,3810
67135,30990,0
225585,78853,0
144472,73146,667
89485,70496,800
337507,80818,600
348984,183496,800
173508,42721,6800
97326,60269,710
95476,28696,0
255202,26475,0
599754,86242,0
94600,68330,1277
104815,25112,0
