tot_income,tot_expenditure,education_expenditure
988656,261533,27620
94038,48239,1000
347600,64214,0
77440,57067,1160
397503,120989,3200
96763,70613,0
206995,80880,2829
123031,51602,2305
81435,27526,0
371724,142330,3110
141291,105160,590
283568,54295,0
160223,83275,620
142720,67900,423
217386,85511,0
180097,68114,1341
964156,160887,0
620014,146919,99500
277618,168906,1200
69337,39917,1800
218643,56584,150
250805,114950,770
93875,49758,2390
56384,35185,0
259563,104180,0
140520,51067,0
377964,118519,2270
316579,181149,100
618600,200988,144760
107176,77238,1580
421068,114098,3820
342989,109247,870
155097,86912,2190
68338,31093,0
63700,34605,0
24559,9348,0
553227,109010,380
147120,21405,0
123055,57809,0
60774,79530,2600
187580,88661,10650
151685,69552,3550
391604,105447,32981
71256,39433,979
165918,59679,0
115498,45709,820
138608,117582,18850
115176,68937,1068
350480,23850,0
203935,67522,0
144565,21617,55400
131608,86060,0
53410,24760,50
167485,86612,300
592300,86504,30418
321263,78060,18090
45273,27841,0
140673,87677,1200
159782,43962,0
204811,103929,1780
1100552,179461,0
287345,65020,0
184940,74429,760
383083,99633,17480
118414,36899,0
520869,126378,31000
675792,109955,3100
307692,115691,2000
198001,62205,0
403826,178053,83100
782126,176758,0
119433,43955,150
46770,43207,0
138653,96318,1080
142625,46800,1680
168920,81823,35920
854006,137184,0
138140,76846,550
127085,52480,500
215905,119442,1800
51755,37082,0
78874,57693,780
170588,65520,3000
141336,54883,0
162213,62730,0
99605,64035,2150
103784,27316,240
231663,102002,33920
120856,63137,450
367130,74297,18530
147456,107085,10770
313630,200954,18520
1276052,272493,24599
240600,51425,0
65308,41943,0
445596,125739,0
261820,93558,1750
128811,62171,1710
163694,97425,0
134030,60408,0
1563762,230982,29500
270904,126500,800
120155,48119,200
371606,129017,0
112113,78029,10900
252360,129460,700
183495,50144,9000
236568,101311,23720
118830,76303,611
183460,66871,1420
466431,144500,0
163768,94532,3570
118743,72990,7710
147365,48134,1340
175206,65269,1595
71314,37068,0
1322828,258014,52300
624971,98404,1550
166898,90834,0
81228,54975,0
310893,117992,7800
132669,78001,180
1302088,170681,0
238115,129827,3182
3790612,353805,0
31852,24782,0
191092,82154,1750
394582,116740,46245
91028,53277,0
143150,26179,0
44977,26844,0
99412,63842,1680
112470,61148,2080
136485,58435,350
529340,238434,3780
122484,63345,1305
655596,218507,61600
282180,73804,20240
106456,40448,5000
52210,39608,0
93082,48328,120
1691518,235191,276500
170306,49336,0
62745,30356,0
230784,92798,3711
702600,74079,0
276380,117671,850
772850,195230,0
74879,44980,0
168533,92016,1034
159055,70580,0
168317,58569,0
128234,77760,22400
85890,52436,0
98020,54745,0
286071,79415,15000
154990,68961,860
148800,80954,350
155462,41981,140
1127724,233583,17200
911698,177225,0
187900,80680,24040
47247,39691,770
299302,91963,1900
128372,49412,11910
309728,122717,600
254000,57150,0
77635,39704,0
309200,72050,660
211777,98895,1000
310690,76665,0
152811,68786,2650
448277,145259,113880
647333,61255,0
387094,116725,10050
495701,98302,590
279072,120181,18000
520233,135107,0
220977,98401,209
70513,28241,0
207878,132733,14600
1601823,155339,731000
268773,84662,1855
80541,52280,0
247442,113134,4400
43574,21576,0
181059,79536,30210
82724,61078,600
341987,108940,15050
157415,95002,23400
191879,52539,15570
104623,27659,0
49653,25938,0
144092,71346,360
77229,36373,0
76789,65217,950
113010,58866,1300
721702,150725,0
249205,72129,0
53390,35563,0
202800,131880,650
145961,68114,1480
159221,73992,1848
153195,48842,0
213050,82438,0
139104,92123,11173
458464,95784,9032
118041,64267,1950
141413,60769,0
344591,132346,6300
318366,96031,1910
166640,45688,0
82731,54846,2590
282352,68804,1020
61393,32477,0
651176,158395,37500
89102,65461,790
16238,10760,0
425790,109189,13005
250956,74923,65400
238485,86527,0
156905,52183,1360
217808,78384,700
291254,67397,48050
159046,35644,0
466000,95390,26790
356115,225680,40
264000,75573,150
264445,128938,1720
515153,74232,0
298548,79215,4130
269883,151068,3105
58800,42554,400
163400,88741,950
185676,69562,0
127881,56595,728
97666,40531,1750
53425,29908,0
168018,70228,0
941300,312718,20500
416063,73068,0
94521,49511,1420
809446,118602,1100
212849,52807,16950
107677,14296,0
239232,173638,0
127654,76860,860
278455,67307,2103
143368,100732,450
108733,67977,0
114623,46243,0
169018,95815,7015
87444,33698,0
632350,246892,15860
1318590,378369,82500
447484,152559,2730
61760,23545,0
527620,72361,113750
256520,118475,980
54081,27373,1140
106942,61538,0
80568,22662,600
328908,96123,23300
206095,97629,3950
93568,58501,1780
224385,64379,0
85394,47190,0
249781,79397,4220
181968,72930,0
113259,41008,750
572190,181008,81000
92906,28739,0
238020,126036,14066
119556,62987,520
326941,94790,18800
105030,50777,925
100259,81883,190
457196,230336,6858
185880,92054,1500
69476,25308,0
103110,21209,2510
25075,15220,0
176270,52826,0
108975,78718,100
162684,107416,365
292178,72914,0
498400,156423,56400
369133,174261,8000
126200,61214,1600
555190,133173,0
902196,171553,149000
182769,54654,19700
137144,77768,5245
37383,62516,1120
185893,86856,650
286991,201671,400
143659,94006,10220
167000,100909,300
198105,110814,980
80900,35826,0
301044,122041,0
192922,114258,17600
107731,74007,260
55628,37664,410
221085,134192,18000
92065,48943,20180
151879,78217,17340
195725,93235,500
157090,97622,619
82417,26137,0
94835,71347,1430
689560,183607,196000
226241,68581,300
84117,54682,1170
442700,110412,51699
625096,177424,0
212310,74147,30000
554820,157408,3320
89725,37006,0
114775,45347,0
156613,62758,2400
276470,138706,1120
113922,68508,2800
308994,141734,0
272884,101546,15640
86900,47717,0
270585,125470,2705
75323,38428,200
68420,41187,1160
186505,104483,1590
139005,88898,100
129915,42728,0
98363,55950,915
132111,58016,0
183205,70978,0
56733,20101,0
313106,179348,22300
261082,93750,0
381924,136306,0
82725,41659,330
149384,47559,45320
236618,71542,1680
139200,76454,740
81440,47507,1400
74924,34059,0
93019,66567,1160
413346,162021,750
268800,45597,3000
780429,241165,114800
170226,93791,2500
58551,36856,1470
1144088,261487,21750
166408,96123,0
106522,75963,5092
420625,154402,15250
295172,128254,0
210316,131270,600
152160,87604,19000
80845,46873,0
191270,111773,1480
119312,25750,0
286368,78627,1050
165051,117187,3700
281227,87038,5300
51752,50659,0
100485,54677,820
111276,133833,75
163721,69687,1200
70984,41643,540
1115381,260947,167017
46997,20822,0
73073,43782,6820
114129,87341,600
678346,227470,34850
374310,111836,44250
79461,69092,2350
109620,82526,1360
127380,42322,0
62879,40523,0
499684,130117,1280
406934,112771,1465
153523,91652,1045
310484,122025,34167
140936,57327,7840
832800,178662,3020
65521,62295,1100
163065,79309,0
69079,43179,329
2057796,330791,20700
74078,17067,0
242145,89925,6600
255160,105128,0
175734,119388,2069
49546,51304,1360
163401,74908,3865
94613,29558,24000
55760,28224,0
175012,75329,8584
209448,89454,12675
152465,60954,1770
174400,66718,0
113244,116020,709
91345,57268,1600
130336,71239,1870
71708,36379,1000
93705,35878,1250
120623,61729,2130
414324,150505,28000
324792,159912,24268
134735,43406,0
174559,65802,0
91635,66275,0
110781,49215,875
143643,59691,3650
104003,30762,12050
498488,113856,13000
108615,55137,17750
103690,36840,0
798653,227109,84800
182897,88385,580
317565,78820,8600
56538,27580,250
83500,64109,0
480178,97417,28020
101194,91873,60
84900,52017,1400
141940,69383,1040
156582,73289,1220
224200,126542,1054
124493,73336,3300
260623,117018,4270
523776,236080,1920
300159,96554,15090
166157,36125,0
317894,140918,3296
85342,56782,1520
54073,32069,0
191142,98228,0
86194,48461,370
276460,82952,14300
73238,40822,0
92564,53652,2150
44296,36150,0
29221,15136,0
59486,44400,0
676560,230443,77050
133328,85268,690
297366,103494,0
579188,83129,0
48031,37201,800
137021,67381,1300
204146,149824,950
457484,153182,0
72559,38184,1010
217610,74592,1550
204800,81427,2325
119760,27825,0
83715,51198,1700
87150,71929,7290
548432,147275,1360
813615,78072,400500
366540,65074,0
149470,104925,6250
130564,72722,1070
189252,89572,700
92831,48076,550
778200,136030,90500
76441,55123,0
232160,64442,0
254018,74510,0
254636,63876,700
181434,82523,2660
199717,62763,6240
47005,29614,220
267935,69548,0
234920,108117,3400
2243037,111400,0
208660,60226,10200
358332,157689,2520
206764,58731,0
100298,72611,8065
529526,121858,43600
143164,87478,1820
540299,154114,23305
120377,79120,12000
156778,75256,2580
90950,43712,210
204450,48809,210
51189,27836,0
204504,107689,3280
339088,86788,350
241410,141448,1100
181878,96258,6080
89469,45731,1100
398015,178706,29470
301148,88752,2200
53652,33289,749
239853,87764,1255
238230,83131,3775
157675,77375,0
107810,64661,340
571615,133728,44430
136175,92032,350
257037,98081,1000
290007,87686,0
101685,54966,866
221738,79677,0
118913,54877,15375
148300,91285,3348
55935,39170,1660
130307,48120,25800
57553,44832,550
107095,54014,0
229879,96398,9800
198363,115641,1710
549977,107280,30800
188942,84319,1235
57167,32778,0
465955,209226,147400
142745,71194,24000
684794,234739,5000
73822,28797,0
467064,75710,2550
249380,90282,1760
101510,42861,0
386046,149931,3500
73275,33827,0
371976,136493,1160
371072,124571,9900
508360,153199,7820
406088,65504,0
511448,159107,6360
573840,86871,575
154885,52396,121
229252,95019,0
281469,72159,0
406654,173241,67050
229857,46027,0
267038,51249,12560
128269,62411,0
249348,113019,5000
132313,72967,650
461660,85166,0
400256,129339,1340
99383,54690,100
865598,167694,14500
226761,104427,0
70922,46714,0
145194,51396,1650
157142,68008,0
206211,122827,815
374158,143328,320
30294,19072,0
68652,42094,886
58798,39443,300
148345,138130,1740
783350,210707,12470
144330,58264,0
43548,15076,0
893862,253759,0
139260,65830,950
205964,118624,1620
165787,77630,0
503638,142631,2660
252800,72832,550
113732,64739,1450
149662,46650,3600
295426,142213,0
385178,114560,9500
197803,49037,1120
243588,89808,0
55675,21510,0
85751,64850,0
117893,53167,1150
89740,24045,0
265304,137618,300
98667,66865,470
282383,90480,2180
62010,55933,600
361552,78292,1024
62054,38617,440
208200,73884,0
96227,29336,0
258438,92048,5095
127914,72277,6400
118180,47252,530
218522,90391,1800
72668,49195,1600
251434,122071,1110
621248,133723,19600
107350,89201,0
313766,96537,2250
382250,85410,27700
326519,73988,26900
81750,33862,788
197737,44684,0
400180,84105,2390
179509,115607,500
84635,62368,2330
590548,283910,23000
139600,61137,0
374745,157506,0
130791,77650,1250
136268,62523,6400
239794,87182,4725
503613,197087,550
249250,97980,0
555244,178714,7200
226980,155854,3600
98249,78749,0
80169,44310,505
191490,111428,1930
67561,37279,1115
72788,49588,335
69525,36209,750
220475,106106,12900
130509,89331,490
55829,40480,800
212693,139870,1010
803787,136477,22035
176786,101968,5591
246852,89514,0
121126,55602,0
223239,74364,200
246050,105403,640
209670,86522,1290
481906,141941,0
62013,35366,1235
72370,46437,0
155060,69206,2730
131101,63869,220
89629,38097,0
13944,7835,0
60460,49883,350
385971,120450,0
71090,44525,0
230800,113064,6080
209099,79930,16050
105418,86627,1755
169248,53913,1680
139371,64364,950
125210,79850,10615
175200,92121,29390
22116,16891,0
100843,38194,0
116982,65093,1320
304309,90977,41050
246300,93563,2590
93432,41650,6777
1025590,131879,27500
860550,146184,0
310981,153831,0
581248,146063,0
106338,59559,375
482703,201810,1640
490472,136397,5400
238593,75334,11200
103271,81127,50
362850,215976,720
232704,78227,0
77944,35635,0
152502,106174,940
612910,153469,23000
128713,52168,7420
51637,27744,0
105884,49590,2830
152150,110543,1880
131671,66682,755
643111,67900,0
251746,111672,430
357742,85327,0
133436,45002,0
117650,56711,20
43051,26027,0
125266,62260,0
63378,20528,72
106426,58631,2450
295600,86660,0
120710,40286,0
114629,70211,1450
255184,89612,0
249548,120442,0
391694,97633,18800
129145,59239,640
234667,45282,0
195960,100728,2550
394180,155955,34870
23151,14133,0
125835,78708,840
256612,111583,1150
122622,72377,748
179221,90673,0
322821,175087,23070
518480,121553,1400
97358,49899,850
326800,161412,9000
75176,42237,1025
177685,88812,700
380868,255846,5120
289900,84449,1380
143052,51492,74
2292000,407543,0
443779,116588,10680
83191,45876,270
365067,68068,0
106600,37496,0
212077,82412,2720
189810,74780,18200
276050,135676,9300
430480,95262,41700
90462,31036,1250
50134,41076,1185
289267,69059,0
130145,71984,4045
114500,68946,1950
644404,234505,22900
255780,108245,45800
231447,85406,15010
1078000,176365,0
275000,150620,20000
151145,55504,0
596606,112223,112000
91537,55579,400
109352,74501,1970
160080,80541,1000
144060,40982,0
1729120,544601,224000
96013,34026,0
551640,107530,800
164187,51413,0
99194,83672,550
180010,74747,0
439751,132550,120900
105202,76410,530
864824,101565,6500
320000,119222,8900
268772,136127,0
431848,90347,2060
59838,37710,0
62271,18913,0
43974,31328,600
88297,50694,3480
138075,58941,0
167657,48200,2840
112164,39000,0
85848,42198,0
157612,79216,11750
329586,137204,2120
146341,47795,15500
81578,48565,350
127417,51305,800
186941,57636,0
366180,192100,0
105475,56831,630
1050000,201304,133000
370830,175090,2570
214160,76157,8900
136174,46933,0
17440,5482,0
521451,141206,0
120055,49317,0
69979,29544,3750
114800,40704,0
369670,127424,17000
573579,171742,46330
136856,63711,8475
47679,38262,2300
461272,188003,5043
142862,68579,1950
281380,160534,2880
79649,31791,0
315648,183118,770
357520,154477,33200
125370,124928,1200
306700,78174,26500
75300,47932,649
150930,107383,4783
522288,163280,16115
382423,124715,350
113444,65422,1020
121390,59661,160
185544,104279,600
223976,109356,0
486660,93067,4500
158764,99612,1100
211800,59467,0
68207,20262,0
770612,247979,38390
353855,206705,2077
108243,65198,250
71277,42077,450
143337,45194,240
171646,58610,0
41723,22195,0
297735,108276,9800
145640,69695,0
139120,55110,0
233425,86341,300
154995,73592,4030
347128,78817,0
170129,89022,1300
288050,64903,19500
2366160,393583,76100
1788940,138942,0
154632,57539,14833
152915,61216,550
186894,90637,15383
212369,78862,55
315611,78309,21850
62556,35840,0
54460,25526,0
138098,92253,0
151490,30294,0
248454,102115,0
289199,126456,17000
184327,52341,0
114218,59631,5530
106554,57042,1500
161632,102109,23830
119040,66560,345
144050,98219,0
162806,85881,2030
209206,86189,878
116314,74670,320
502211,169534,18865
350740,96601,5500
59671,36356,600
98100,34499,200
71800,37331,0
102190,47746,0
218380,74668,0
77000,22934,0
171923,107955,9570
318000,183024,19100
80184,17358,0
85173,40105,1700
85818,40079,300
121975,34538,0
178201,83022,0
78447,20603,1410
406055,171817,10000
125186,69304,0
199478,90598,0
146090,61807,520
478804,104937,46700
53111,31771,0
161136,88480,600
198306,78599,1650
85247,41793,750
36094,22602,0
164783,42733,0
197121,81820,13647
225660,83511,760
84535,41602,0
134930,100981,1220
100179,48729,1230
241165,135579,1500
200200,77275,1370
401173,96805,5300
353510,78046,1380
34679,13733,0
340176,108996,15106
422306,166553,8880
351140,71410,5550
91030,43829,1100
50086,24559,0
67940,32955,460
99480,64858,50
219511,52763,1430
209641,118214,2000
90720,35119,17100
519843,91636,53200
303852,112151,0
104848,28666,0
915888,96322,0
102718,42564,1023
467537,203748,0
164650,86456,2965
134304,113257,2790
526200,63871,0
574730,256050,265
1647314,267625,11465
159742,58878,2060
68223,45446,665
98412,58799,213
132042,66402,2480
215782,72421,0
116620,45015,0
130847,96595,260
145076,37500,0
99330,26905,11000
120165,66289,410
70359,41823,1890
382762,95296,67500
489060,121777,2500
215142,88655,12930
293791,89516,9795
78597,47733,2050
73780,46645,0
167978,47527,0
285215,76607,1590
150398,38623,537
192161,76823,0
87820,51393,0
115625,58520,1525
208386,111712,1120
611446,140230,10415
1059500,318162,22300
118418,77281,0
159161,82274,420
49590,26956,0
267230,63514,0
33245,76533,0
161438,101814,2230
166290,98683,970
437658,116969,9650
526449,82519,0
143390,72097,18100
746261,186594,9700
92632,47029,12800
190305,116480,2800
62260,44839,0
141844,31499,0
288120,96701,800
347144,147571,9120
113693,59000,750
166445,61157,1839
554710,143668,28700
163444,80172,4610
79298,41328,0
125638,90189,10
237412,116361,1750
79331,28035,0
533748,75023,63500
166578,92076,14900
128345,69248,0
82335,36087,0
141482,87001,580
142100,39199,0
205788,115649,474
202051,118855,550
493020,168272,0
82756,26840,400
104002,56086,350
843374,165492,128400
27564,11359,450
541444,148880,41100
25827,10847,0
305053,81422,3730
68810,43344,0
167005,78590,1424
100080,51694,0
207738,125012,2870
83764,45880,6890
126445,45137,17500
347720,123758,3040
122406,68741,370
68387,27722,580
234722,64681,0
176940,45850,49900
233265,64731,1170
141762,78052,2100
150407,68854,1060
169000,74130,0
555644,130254,2040
945684,230180,85000
148485,46040,0
1089612,181364,48400
87423,64574,150
122388,94137,1300
160976,73588,0
343439,142279,1080
77979,27838,0
156464,50069,4240
433693,101255,0
347928,79338,5700
99921,54446,350
54666,34198,1580
66117,54855,1170
420920,90911,0
222326,99045,2575
70794,53512,0
178105,68102,1440
146194,116483,1200
271924,101121,1753
854360,199191,3200
51340,16708,0
537921,86833,2800
106804,56566,2434
86091,46701,0
406376,96579,21210
545844,130029,6750
147354,71736,9350
250538,63042,0
96115,61249,570
127983,66881,0
200819,86914,840
173352,93759,620
92400,50411,1275
126450,64183,4400
381500,142459,2500
121873,49262,1450
481572,176380,56000
417542,64925,4900
191122,105582,1600
111925,61314,200
408170,62390,0
454655,121030,22520
80855,57054,738
83667,48586,893
212243,54187,0
123119,66624,406
122574,99743,1540
56616,27481,0
348815,79384,450
103794,60073,400
87598,23201,0
93998,34904,690
31830,40418,1430
95800,45403,300
95612,49605,0
104923,96899,2300
71982,23921,0
116961,57130,4120
62389,15133,0
133570,67447,4050
154520,113015,500
82575,54728,1105
1056298,129952,69100
177969,80247,2340
492200,194324,63000
115435,54274,2100
284128,103151,0
68817,39829,0
125330,51284,0
96555,54145,1400
148829,41042,0
141610,67881,26600
96045,53625,950
154880,51836,0
213280,73816,7500
225323,109712,0
1142962,243287,92500
285490,74816,550
74473,13484,0
147692,78486,570
177180,80690,0
73959,37917,635
197357,37944,0
142510,66692,1782
104530,58765,520
209516,81465,35420
178180,72849,11500
107012,34435,0
291586,96225,1830
136717,77667,1200
541700,129440,1135
63346,43631,0
245695,70709,6200
195564,102757,75
228000,113198,1030
211660,90971,2939
167370,85018,8000
984219,313637,0
98406,64952,180
345311,60506,17700
183640,56936,3280
114854,69205,1130
238354,60494,0
341846,70527,1980
349354,91617,53400
222217,112613,14045
192335,61426,5300
185568,97623,4600
142200,62662,0
484150,188387,15379
264398,112373,12800
31345,15461,0
117472,31621,0
431070,87285,0
212613,72044,1080
85039,56338,950
82650,29723,0
158586,93685,2910
119190,66612,380
290900,152297,3680
74797,42010,2800
98484,35233,0
338258,115626,73700
701520,170988,87700
780000,178181,0
178376,99004,17820
214314,84490,190
142584,110902,1310
214072,54143,2374
322830,125596,530
85030,62002,550
40714,22240,0
109907,115607,0
87677,72171,2168
354000,198722,20860
182838,59701,0
91460,54288,420
226002,87604,590
112040,68175,6700
531188,157345,430
364059,95882,315
452936,190611,400
78793,29056,316
304890,73799,30183
103348,54914,4500
266610,45924,1035
35167,21710,0
154495,70299,540
145900,52578,340
111045,70247,300
236990,79759,0
138465,63429,730
138125,87049,15430
88355,45647,0
1026256,97330,2100
104493,64182,430
135634,42716,0
305260,93181,0
810533,108515,0
80457,59304,1090
106001,59488,425
148738,74028,1615
127706,60067,9000
76189,101608,240
227430,141192,2000
537472,136136,22800
85664,61656,0
180444,67984,7700
217802,100482,1185
58329,27433,500
78925,59195,580
121581,63546,0
91540,56141,800
143245,76528,9500
536230,219855,445
60688,43806,260
92880,67820,500
394035,128796,0
140320,73029,1370
94683,57562,1130
251860,93516,10000
438790,240188,1200
85187,43042,3900
23494,13522,0
721304,97454,0
140480,78757,450
256570,83869,1224
77930,52005,240
181215,77545,15928
233235,132384,340
132030,55360,850
80285,31686,650
128598,78195,80
161900,92832,815
150030,64641,0
271058,101246,8150
66275,40097,410
127345,51371,2800
378228,136332,49190
945323,183367,19475
160986,62970,865
259758,163880,2550
68533,39729,300
317626,94194,0
58074,31218,0
164801,89779,12885
267692,65965,800
53465,30732,170
99455,34769,0
52482,53193,200
183299,83002,2340
113221,58693,14900
201345,76027,23320
318723,169408,3500
122400,62737,500
101922,56726,1960
184722,38378,1200
344000,122700,0
93383,46368,12659
30425,20466,0
190300,110387,6800
124329,66004,134
67388,33437,150
64383,33607,0
121475,81696,0
348613,98336,7044
489508,149117,0
153950,77431,0
91785,57112,225
90916,47240,0
149000,72726,2110
121030,36305,16900
260715,110288,3240
103364,54584,11150
64478,33279,550
140727,50523,0
61469,40542,0
106336,70200,1485
92623,40474,0
651410,158426,0
236742,136315,615
272562,260684,0
428646,156242,2100
196937,47956,37808
386928,161176,680
84044,39926,0
105953,63632,0
214359,77758,1800
45033,27705,0
540876,103991,0
410072,105999,2450
97260,59263,0
217825,121136,300
166080,134812,200
54381,41001,0
258845,108072,13550
105115,49350,0
133832,67093,2000
404966,56175,74000
133184,61579,1700
116327,61175,2440
369202,51091,0
95042,57521,400
97261,57661,500
192900,74004,8740
826804,128184,61000
404676,134912,43670
170607,51442,0
207425,108722,2700
117804,54111,0
28081,12206,0
91848,58028,1910
202840,71654,1000
107966,52466,0
119668,47190,0
497597,97020,700
277629,70698,1893
146786,49207,26060
511572,102823,1000
63720,24501,0
203645,139684,13400
414341,129166,12000
202370,64673,8500
129900,57530,120
703600,202947,71500
187952,101293,90
50826,31965,300
75733,40518,0
93914,69689,2565
68465,48777,400
102329,58639,1210
372224,122412,5941
130405,65088,17889
132029,91745,870
85160,40835,0
114984,28102,0
332914,64577,0
104376,52284,398
35174,26854,0
221398,89103,21106
263066,85624,5350
326117,53484,0
124280,37038,770
984560,157656,35200
357725,120601,1860
101700,59824,400
252005,74698,1100
216792,84869,2500
186792,96241,9510
91106,59071,3670
49968,35206,0
469314,200165,2281
211460,72270,0
216929,124316,4690
166312,70113,0
708095,100730,0
114480,60992,1670
369302,163962,7955
227570,114308,1900
86800,57520,860
706212,158166,3000
87372,39450,0
603323,186508,49825
259736,84697,609
96638,61170,1350
159242,128211,4226
101576,61189,1700
98819,56715,13940
44608,34265,0
442162,93647,0
69006,41405,940
157627,96723,975
400862,77248,0
52446,24937,0
72005,41208,880
96110,65437,2860
60311,33592,0
663746,72060,3899
148050,98279,2800
100300,78015,0
311160,59004,1900
114089,59513,0
74233,54967,600
111729,23612,0
333674,116618,11900
197840,65338,33250
179375,47284,0
216499,56475,0
140312,66705,1158
150509,51335,0
591380,114867,5120
1477965,478203,12650
21357,13995,0
166395,113967,1790
162522,52534,6350
323295,159063,500
632410,118740,12600
128574,56919,250
227453,121649,915
56599,41263,1800
244150,121766,585
536208,134329,1400
124805,57686,1616
144407,49436,0
192500,109916,5620
131045,68630,27805
325844,101766,15420
184057,89822,530
55555,34124,0
516391,86646,8850
108314,67079,530
58674,31595,6950
387164,137360,6798
138930,53044,200
156879,73294,910
132860,45282,0
370482,92405,16604
172538,60152,9680
221961,49676,0
60325,44849,782
162385,104329,2373
178376,65610,0
123197,54899,1635
235458,65476,38000
102567,46034,440
88290,66832,900
58385,32799,0
98739,65282,1797
75812,38739,330
40134,17458,0
115757,63028,440
72753,30153,0
241271,103068,0
237715,102671,1270
251549,142389,1501
316705,81520,250
86905,71923,3100
138317,76420,2250
142994,37481,0
177887,106861,0
168248,90303,1270
82101,42371,0
69744,59232,250
152834,94653,610
147244,54204,2168
215380,106522,2000
134412,75308,7170
78530,40700,0
99340,61466,1445
800496,115148,94550
231729,96754,5800
104956,53604,0
172400,64175,0
168965,124981,1050
107480,58485,784
93131,52602,3040
429017,145853,39200
287220,155490,1410
94810,51637,0
188540,47273,40000
637450,249076,14050
40815,24884,0
169809,92116,14750
82849,42409,0
77994,41094,430
86077,32975,2800
184135,78806,13450
338176,49275,2500
627941,93854,14300
808197,138372,99000
125452,58129,2260
601400,89280,0
572010,93048,0
90116,50245,610
58605,34644,0
253472,136571,0
503989,82812,0
48038,28930,0
51931,38308,0
80390,41265,0
114375,105966,350
132653,81383,880
122554,56187,1840
162656,30281,0
182650,72560,10350
119778,80344,620
190042,63729,8150
111390,51015,1042
499728,103353,14300
107358,75762,1800
299260,74908,925
1018884,262299,4000
344782,98649,0
73000,17846,0
240601,101767,4480
189363,85039,12000
53723,30264,0
422100,196826,0
125996,85103,0
120240,55760,0
195340,85026,0
94425,52078,900
255864,55174,0
276628,111893,3450
141095,67322,85
155645,81992,4650
98182,48455,4500
178021,92310,0
79770,28418,0
58064,21971,145
270052,113679,59997
120010,73497,1000
335954,112347,0
114334,67757,814
378682,150224,2040
220740,71608,0
77050,48494,2860
246499,60297,670
277274,159478,3180
111152,67705,1360
188133,65665,750
116126,61460,2906
903753,301137,85000
60737,18032,0
34125,24230,0
151577,76066,5930
