Date,mean_max_temp,mean_min_temp,mean_temp,total_rain_mm,total_snow_cm,total_precipitate_mm
1954-01-01,-5.8,-13.6,-9.7,10.4,23.4,33.8
1954-02-01,6.3,-2.4,2,2.5,4.1,6.6
1954-03-01,7.3,-3.9,1.7,4.3,9.7,14
1954-04-01,12.1,0.2,6.2,8.4,0.5,8.9
1954-05-01,21.6,6.8,14.2,20.6,0,20.6
1954-06-01,23,9.4,16.2,34.8,0,34.8
1954-07-01,26.4,10.4,18.4,47.2,0,47.2
1954-08-01,24,10.3,17.2,42.4,0,42.4
1954-09-01,20.1,8.5,14.3,42.4,0,42.4
1954-10-01,12.8,1.4,7.1,2,0,2
1954-11-01,9.7,2.8,6.3,5.1,0,5.1
1954-12-01,4,-3.7,0.2,0,8.4,8.4
1955-01-01,-0.3,-6.7,-3.5,0,22.9,22.9
1955-02-01,0.2,-7.8,-3.8,0,16.3,16.3
1955-03-01,3.4,-6.6,-1.6,0.5,4.6,5.1
1955-04-01,13.9,0.3,7.1,4.6,1.8,6.4
1955-05-01,18.6,6.2,12.4,20.6,0,20.6
1955-06-01,25.2,9.8,17.5,39.1,0,39.1
1955-07-01,28.1,12.8,20.5,35.1,0,35.1
1955-08-01,28.1,9.7,18.9,0.5,0,0.5
1955-09-01,22.8,6.5,14.7,3.6,0,3.6
1955-10-01,14,2.8,8.4,7.9,0,7.9
1955-11-01,-0.5,-9.4,-5,7.1,34.3,41.4
1955-12-01,-4.1,-12.2,-8.2,4.6,49.8,54.4
1956-01-01,-1.9,-9.3,-5.6,4.6,25.4,30
1956-02-01,-3.3,-13.2,-8.3,0,12.4,12.4
1956-03-01,6.6,-4,1.3,1.8,6.6,8.4
1956-04-01,18,0.7,9.4,11.2,0,11.2
1956-05-01,23.9,6.1,15,8.9,0,8.9
1956-06-01,21.8,9.4,15.6,61.5,0,61.5
1956-07-01,31,12.5,21.8,7.1,0,7.1
1956-08-01,28.2,11.9,20.1,37.1,0,37.1
1956-09-01,22.9,6.7,14.8,13,0,13
1956-10-01,12,1.3,6.7,17.3,2.3,19.6
1956-11-01,3.8,-2.2,0.8,6.6,2,8.6
1956-12-01,-0.2,-7.8,-4,0.3,33,33.3
1957-01-01,-10.1,-18.7,-14.4,0.5,50,50.5
1957-02-01,-0.6,-14.4,-7.5,1.3,19.8,21.1
1957-03-01,8.8,-1.8,3.5,1.5,4.8,6.4
1957-04-01,16.3,2.2,9.3,6.9,0,6.9
1957-05-01,24.3,8.4,16.4,19.8,0,19.8
1957-06-01,24.8,10.9,17.9,55.4,0,55.4
1957-07-01,25.8,11.4,18.6,37.3,0,37.3
1957-08-01,24.7,10,17.4,27.4,0,27.4
1957-09-01,25.3,8.2,16.8,3,0,3
1957-10-01,12,1.4,6.7,10.9,3.6,14.5
1957-11-01,6.1,-1.7,2.2,13,5.1,18
1957-12-01,4.9,-2.1,1.4,0.5,3.3,3.8
1958-01-01,3.3,-2.2,0.6,4.6,26.9,31.5
1958-02-01,5.6,-0.6,2.5,14,8.6,22.6
1958-03-01,10.6,-1.3,4.7,17,0,17
1958-04-01,16.1,2.6,9.4,11.4,0,11.4
1958-05-01,27.4,7.9,17.7,3.6,0,3.6
1958-06-01,29.3,13.9,21.6,27.9,0,27.9
1958-07-01,32.6,14.7,23.7,12.4,0,12.4
1958-08-01,30.8,12.2,21.5,7.4,0,7.4
1958-09-01,21.4,7.3,14.4,16.5,0,16.5
1958-10-01,14.7,3.1,8.9,16,1.5,17.5
1958-11-01,3.4,-3.3,0.1,9.4,14.2,23.6
1958-12-01,1.4,-4,-1.3,10.2,9.4,19.6
1959-01-01,-0.6,-7,-3.8,5.8,24.6,30.5
1959-02-01,0.9,-8.2,-3.7,5.1,19.3,24.4
1959-03-01,10.7,-0.1,5.3,3.8,3,6.9
1959-04-01,17.6,1.8,9.7,2.3,0,2.3
1959-05-01,19.9,6.2,13.1,34.8,0,34.8
1959-06-01,24.3,10.3,17.3,28.4,0,28.4
1959-07-01,30.3,12.3,21.3,14.5,0,14.5
1959-08-01,25.2,10.4,17.8,38.6,0,38.6
1959-09-01,19.2,8.5,13.9,55.9,0,55.9
1959-10-01,11.4,2.9,7.2,24.6,0,24.6
1959-11-01,1.7,-4.7,-1.5,13.5,33.3,46.7
1959-12-01,2.7,-3.4,-0.4,3.3,4.8,8.1
1960-01-01,-3.1,-9.6,-6.4,2,41.7,43.7
1960-02-01,4.3,-2.8,0.8,3,5.6,8.6
1960-03-01,9.4,-2.4,3.5,0.5,5.6,6.1
1960-04-01,17.1,2.8,10,5.1,0,5.1
1960-05-01,19.3,6.1,12.7,13,0,13
1960-06-01,25.2,10.4,17.8,6.9,0,6.9
1960-07-01,33.3,13.2,23.3,3,0,3
1960-08-01,26.4,12.3,19.4,24.1,0,24.1
1960-09-01,22.3,5.7,14,7.6,0,7.6
1960-10-01,15,4.3,9.7,14.2,0,14.2
1960-11-01,5.1,-1.8,1.7,13.7,2.8,16.5
1960-12-01,0,-4.8,-2.4,3,18.8,21.8
1961-01-01,2.1,-4.2,-1.1,0,21.6,21.6
1961-02-01,6,-1.2,2.4,8.6,5.1,13.7
1961-03-01,11.2,0.1,5.7,2.8,5.6,8.4
1961-04-01,15.9,2.9,9.4,13.7,0,13.7
1961-05-01,22.3,8.1,15.2,23.1,0,23.1
1961-06-01,30.3,12.2,21.3,16,0,16
1961-07-01,30.9,14.4,22.7,26.9,0,26.9
1961-08-01,31.3,13.3,22.3,24.4,0,24.4
1961-09-01,20.1,6.3,13.2,27.7,0,27.7
1961-10-01,12.7,1.3,7,9.1,0,9.1
1961-11-01,2.9,-4.9,-1,7.9,17.3,25.1
1961-12-01,-0.6,-7.4,-4,0.5,51.6,52.1
1962-01-01,-2.9,-11.1,-7,0.5,52.6,53.1
1962-02-01,1.4,-6.3,-2.5,4.8,3.8,8.6
1962-03-01,6.5,-4.4,1.1,0.3,3.8,4.1
1962-04-01,18.2,3.3,10.8,9.7,0,9.7
1962-05-01,19.1,6.2,12.7,38.9,0,38.9
1962-06-01,25.3,9.2,17.3,6.6,0,6.6
1962-07-01,27.9,11.8,19.9,41.9,0,41.9
1962-08-01,25.7,11.7,18.7,46.7,0,46.7
1962-09-01,22.1,6.5,14.3,29.5,0,29.5
1962-10-01,13.8,3.6,8.7,25.4,0,25.4
1962-11-01,8.6,0.4,4.5,12.2,0,12.2
1962-12-01,4.2,-2.2,1,3.6,3.6,7.1
1963-01-01,-4.2,-13,-8.6,0,26.2,26.2
1963-02-01,5.2,-2.3,1.5,0.5,1.3,1.8
1963-03-01,11,-0.5,5.3,4.3,0,4.3
1963-04-01,16.1,3.6,9.9,19.8,0,19.8
1963-05-01,22.4,5.6,14,3.6,0,3.6
1963-06-01,25.2,10.8,18,23.4,0,23.4
1963-07-01,26.4,12.3,19.4,41.1,0,41.1
1963-08-01,29.3,12.4,20.9,23.9,0,23.9
1963-09-01,25.5,10.3,17.9,26.2,0,26.2
1963-10-01,16.6,5.2,10.9,15,0,15
1963-11-01,7.1,-1.7,2.7,5.6,6.1,11.7
1963-12-01,0.6,-5.7,-2.6,0,44.7,29.5
1964-01-01,1.9,-5.3,-1.7,0,39.1,26.2
1964-02-01,5.7,-3.5,1.1,1.3,6.6,6.4
1964-03-01,8.8,-1.4,3.7,2.3,2,4.1
1964-04-01,14.8,1.8,8.3,7.4,0,7.4
1964-05-01,20.2,5.8,13,14.2,0,14.2
1964-06-01,24.1,10.4,17.3,52.8,0,52.8
1964-07-01,27.5,12.9,20.2,31,0,31
1964-08-01,24.6,11.1,17.9,28.2,0,28.2
1964-09-01,18.4,6.9,12.7,50.3,0,50.3
1964-10-01,14.9,1.7,8.3,2,0,2
1964-11-01,5.4,-2.3,1.6,6.6,21.1,27.7
1964-12-01,-5.3,-13.6,-9.5,0,52.1,42.7
1965-01-01,-1.8,-8.2,-5,0,39.9,37.1
1965-02-01,1.9,-5.8,-2,3.6,22.1,24.1
1965-03-01,7.5,-5.1,1.2,0.3,2,2.3
1965-04-01,17.1,2.3,9.7,5.1,0,5.1
1965-05-01,20.6,5.1,12.9,4.1,0,4.1
1965-06-01,25.9,10.1,18,10.7,0,10.7
1965-07-01,29.9,13.9,21.9,12.4,0,12.4
1965-08-01,26.1,13.7,19.9,75.9,0,75.9
1965-09-01,19.4,6.3,12.9,19.3,0,19.3
1965-10-01,15.9,4.2,10.1,3.3,0,3.3
1965-11-01,5.2,-2.4,1.4,10.2,8.9,19.1
1965-12-01,1.2,-6.2,-2.5,3,42.9,44.2
1966-01-01,-2.7,-10.4,-6.6,0,41.1,39.1
1966-02-01,3.9,-3.7,0.1,0.3,10.2,9.1
1966-03-01,10.9,-1.1,4.9,1.5,0.8,2.3
1966-04-01,15.9,1,8.5,10.2,2,12.2
1966-05-01,21.6,6.4,14,22.6,0,22.6
1966-06-01,23.1,9.7,16.4,25.1,0,25.1
1966-07-01,25.8,12.3,19.1,69.1,0,69.1
1966-08-01,27,11.3,19.2,18,0,18
1966-09-01,24.1,9.4,16.8,11.2,0,11.2
1966-10-01,14.3,3.6,9,16,0,16
1966-11-01,5.2,-2.3,1.5,32,14.7,46
1966-12-01,3.6,-3.5,0.1,5.1,27.9,31.5
1967-01-01,2.1,-5.6,-1.8,9.1,33.5,41.4
1967-02-01,6.6,-3.1,1.8,3.8,20.6,23.1
1967-03-01,8.3,-2.2,3.1,10.4,5.8,15.2
1967-04-01,14.3,0.8,7.6,8.6,0,8.6
1967-05-01,20.4,6.3,13.4,13.5,0,13.5
1967-06-01,28.4,12.1,20.3,2.3,0,2.3
1967-07-01,29.2,12.2,20.7,12.4,0,12.4
1967-08-01,32.4,13.1,22.8,7.9,0,7.9
1967-09-01,26.6,9.7,18.2,4.1,0,4.1
1967-10-01,13.8,4.8,9.3,51.1,0,51.1
1967-11-01,5.8,-1.5,2.2,5.8,4.8,10.2
1967-12-01,1.5,-5.7,-2.1,10.4,43.7,48
1968-01-01,0.4,-7.3,-3.5,1.8,20.3,18.3
1968-02-01,5.5,-5.6,-0.1,5.3,0.8,6.4
1968-03-01,11.9,0.7,6.3,8.9,3.8,12.7
1968-04-01,14.6,1.2,7.9,4.1,0.8,4.8
1968-05-01,20.6,6.1,13.4,41.4,0,41.4
1968-06-01,22.9,10.2,16.6,17.3,0,17.3
1968-07-01,29.4,13.1,21.3,8.1,0,8.1
1968-08-01,25.3,12.1,18.7,32.3,0,32.3
1968-09-01,20.9,8.4,14.7,26.7,0,26.7
1968-10-01,13.3,3.1,8.2,17.3,0,17.3
1968-11-01,6.3,-1.1,2.6,17.8,4.3,22.4
1968-12-01,-3.2,-9.8,-6.5,7.6,38.6,44.7
1969-01-01,-12.1,-21,-16.6,0,47.8,39.6
1969-02-01,1.2,-8.9,-3.9,1.3,9.9,9.1
1969-03-01,9.8,-2.7,3.6,1.5,17,15.2
1969-04-01,16.4,3.7,10.1,40.6,0,40.6
1969-05-01,23.4,7,15.2,14.2,0,14.2
1969-06-01,28.9,13.1,21,50.8,0,50.8
1969-07-01,26.5,12.1,19.3,52.6,0,52.6
1969-08-01,25.9,11.1,18.5,17.8,0,17.8
1969-09-01,20.4,8.6,14.5,40.1,0,40.1
1969-10-01,12.8,2.1,7.5,20.8,0,20.8
1969-11-01,7,-0.4,3.3,17.8,0.5,18.3
1969-12-01,2.6,-2.6,0,23.6,18.3,41.7
1970-01-01,-2.6,-9.2,-5.9,1,31.5,29.7
1970-02-01,5,-3.2,0.9,2,0.5,2.5
1970-03-01,10.3,-1.4,4.5,9.9,0,9.9
1970-04-01,15.1,1.1,8.1,9.9,0,9.9
1970-05-01,20.8,6.4,13.6,6.6,0,6.6
1970-06-01,28.2,12.3,20.3,25.4,0,25.4
1970-07-01,29.7,13.8,21.8,1.3,0,1.3
1970-08-01,29.2,11.7,20.5,19.1,0,19.1
1970-09-01,18.9,5.6,12.3,15.2,0,15.2
1970-10-01,12.4,1.2,6.8,15,0,15
1970-11-01,2.4,-4.3,-1,11.2,29.2,32.5
1970-12-01,-1.3,-8.7,-5,1.5,30,27.9
1971-01-01,-2,-8.8,-5.4,16,33,44.2
1971-02-01,2.8,-4.7,-1,9.1,13.2,19.1
1971-03-01,6.8,-3.1,1.9,3,9.7,12.7
1971-04-01,16.6,2.3,9.5,2.8,0,2.8
1971-05-01,22.3,7.2,14.8,23.1,0,23.1
1971-06-01,22.3,10.6,16.5,36.1,0,36.1
1971-07-01,29.9,12.9,21.4,15.5,0,15.5
1971-08-01,31.2,14.4,22.8,12.4,0,12.4
1971-09-01,20.1,7.7,13.9,13.7,0,13.7
1971-10-01,13.3,2.7,8,3.8,1.5,5.3
1971-11-01,6.6,-0.2,3.2,15.5,5.1,20.6
1971-12-01,-5.7,-13.4,-9.6,0,118.9,91.2
1972-01-01,-6.8,-16.1,-11.5,0,52.1,34.5
1972-02-01,0.1,-8.9,-4.4,0.3,14,14.2
1972-03-01,9.3,-1.8,3.8,14.2,9.9,24.1
1972-04-01,13,1.2,7.1,4.3,2.8,7.1
1972-05-01,22.9,7.5,15.2,14.2,0,14.2
1972-06-01,23.3,11.5,17.4,34.5,0,34.5
1972-07-01,28.2,12.4,20.3,18.3,0,18.3
1972-08-01,29.2,13.1,21.2,19.3,0,19.3
1972-09-01,18.7,6.4,12.6,15,0,15
1972-10-01,12.2,-0.8,5.7,10.7,2.8,13.5
1972-11-01,6.1,0.2,3.2,6.4,0,6.4
1972-12-01,-1.3,-8.1,-4.7,8.6,17.8,21.8
1973-01-01,-0.8,-8.3,-4.6,1.3,6.1,6.4
1973-02-01,3.2,-5.3,-1.1,1.3,18.8,18
1973-03-01,11.4,0.2,5.8,4.6,0.8,5.3
1973-04-01,16.6,2.2,9.4,2.3,0,2.3
1973-05-01,22.5,7.5,15,9.1,0,9.1
1973-06-01,24.6,10.6,17.6,21.6,0,21.6
1973-07-01,29.1,12.7,20.9,2.3,0,2.3
1973-08-01,28.2,12,20.1,4.1,0,4.1
1973-09-01,23.6,9.3,16.5,28.2,0,28.2
1973-10-01,13.4,4,8.7,23.4,0.3,23.6
1973-11-01,1.7,-4,-1.2,5.1,45.5,44.7
1973-12-01,3.4,-1.8,0.8,12.7,5.8,18.3
1974-01-01,-0.6,-7.9,-4.3,12.2,13.2,23.9
1974-02-01,5.5,-1.2,2.2,3,13.7,13.5
1974-03-01,9.5,-0.4,4.6,10.2,7.6,17.5
1974-04-01,16.4,3.8,10.1,19.3,0,19.3
1974-05-01,18.6,5.7,12.2,20.8,0,20.8
1974-06-01,26.9,11.4,19.2,6.1,0,6.1
1974-07-01,26.4,12.1,19.3,25.1,0,25.1
1974-08-01,29.4,13.2,21.3,15.2,0,15.2
1974-09-01,24.7,8.6,16.7,4.6,0,4.6
1974-10-01,14.9,2.7,8.8,7.6,0,7.6
1974-11-01,6.3,-0.8,2.8,30.5,2.3,32.5
1974-12-01,3.4,-3,0.2,26.4,24.9,46.7
1975-01-01,-2.7,-10.3,-6.5,0.5,66.8,52.8
1975-02-01,-3.7,-12.9,-8.3,2,43.9,38.9
1975-03-01,6.6,-2.9,1.9,12.4,3,15.2
1975-04-01,15.2,0.6,7.9,10.4,0,10.4
1975-05-01,20.7,6.2,13.5,18.8,0,18.8
1975-06-01,23.6,10.1,16.9,29.2,0,29.2
1975-07-01,30.5,14.7,22.6,14,0,14
1975-08-01,24.6,12.1,18.4,23.9,0,23.9
1975-09-01,24,7.3,15.7,8.1,0,8.1
1975-10-01,14.6,4.1,9.4,9.7,0,9.7
1975-11-01,6.6,-1.7,2.5,5.3,28.7,33.5
1975-12-01,1.6,-5.1,-1.8,7.4,33.8,32.8
1976-01-01,0.4,-5.7,-2.7,2.3,21.3,19.8
1976-02-01,4.1,-3.4,0.4,1.8,9.1,9.1
1976-03-01,7,-2.9,2.1,7.9,3.8,10.9
1976-04-01,16.6,2.3,9.5,3.8,0,3.8
1976-05-01,20.4,7,13.7,21.1,0,21.1
1976-06-01,22.8,9.6,16.2,33,0,33
1976-07-01,26.6,12.5,19.6,32.3,0,32.3
1976-08-01,22.5,12.6,17.6,122.2,0,122.2
1976-09-01,22.2,8.8,15.5,8.9,0,8.9
1976-10-01,13.2,2.9,8.1,20.6,0,20.6
1976-11-01,5.8,-0.2,2.8,9.4,0,9.4
1976-12-01,3.4,-1.9,0.8,13.5,13.2,23.4
1977-01-01,-1.3,-6.9,-4.1,7.8,14.2,20
1977-02-01,6.2,-1.3,2.5,4.8,0.6,5.4
1977-03-01,10.5,-0.8,4.9,6.4,5.3,11.7
1977-04-01,18.5,2.3,10.4,13.9,0.6,14.5
1977-05-01,19.8,7.1,13.5,22.6,0,22.6
1977-06-01,27,11.6,19.3,16.5,0,16.5
1977-07-01,26.8,13,19.9,24.6,0,24.6
1977-08-01,29.7,14.1,21.9,34.8,0,34.8
1977-09-01,19.7,7.3,13.5,26.5,0,26.5
1977-10-01,14.2,2.4,8.3,8.3,0,8.3
1977-11-01,3.7,-3.2,0.3,8.8,48.9,50.1
1977-12-01,-3.6,-10.1,-6.9,15.4,57.6,63.3
1978-01-01,-3.2,-8.6,-5.9,1,47.2,30.5
1978-02-01,2.9,-4.3,-0.7,3,10.9,11.2
1978-03-01,10.9,-0.2,5.4,5.3,0.2,5.5
1978-04-01,15.4,3.2,9.3,36.3,0,36.3
1978-05-01,19.6,6.1,12.9,19.8,0,19.8
1978-06-01,26.7,11.5,19.1,22.2,0,22.2
1978-07-01,30,14.5,22.3,11.1,0,11.1
1978-08-01,26.6,12.9,19.8,21,0,21
1978-09-01,19.4,8.8,14.1,35.4,0,35.4
1978-10-01,14.5,2.2,8.4,14.1,0,14.1
1978-11-01,2.2,-4.7,-1.3,16.7,8.8,24.3
1978-12-01,-2.3,-10.4,-6.4,0,14.4,9.1
1979-01-01,-9.1,-18.4,-13.8,0,29.7,23.3
1979-02-01,0.7,-9.3,-4.3,0,11.1,6.1
1979-03-01,11.8,-2.3,4.8,5.5,1,6.3
1979-04-01,15.6,0.9,8.3,12.3,0.8,13.1
1979-05-01,21.4,6.6,14,12,0,12
1979-06-01,26.4,10.7,18.6,4.8,0,4.8
1979-07-01,30.1,14.1,22.1,10.3,0,10.3
1979-08-01,29.6,14.4,22,12.9,0,12.9
1979-09-01,24.2,9.7,17,30.6,0,30.6
1979-10-01,16.2,4.9,10.6,10.6,0,10.6
1979-11-01,4.7,-4.1,0.3,5.1,0.6,5.7
1979-12-01,3.9,-3.6,0.2,8.5,10.7,17.7
1980-01-01,-2.9,-10.9,-6.9,0.6,6.5,4.8
1980-02-01,3.8,-2.1,0.9,14.3,13.2,23.9
1980-03-01,9.4,-1.1,4.2,9.4,1.6,10.5
1980-04-01,19.8,3.9,11.9,6.8,0,6.8
1980-05-01,21.8,9.2,15.5,44.2,0,44.2
1980-06-01,23.7,11.1,17.4,69,0,69
1980-07-01,28.1,12.9,20.5,19.4,0,19.4
1980-08-01,25,11.5,18.3,43.5,0,43.5
1980-09-01,20.3,8.7,14.5,41.6,0,41.6
1980-10-01,15.8,3.3,9.6,13,0,13
1980-11-01,7.6,0.2,3.9,15.2,8.6,23.4
1980-12-01,-0.4,-6.3,-3.4,3.7,43.3,31.2
1981-01-01,3.8,-1.2,1.3,4.8,1.4,6.2
1981-02-01,5.1,-2.4,1.4,16.4,5.4,20.8
1981-03-01,13,-0.5,6.3,13.3,0,13.3
1981-04-01,16,2,9,6.9,2.1,9
1981-05-01,20.6,8.5,14.6,37.3,0,37.3
1981-06-01,21.7,9,15.4,40.1,0,40.1
1981-07-01,27.4,13.7,20.6,48.6,0,48.6
1981-08-01,31.4,14.3,22.9,24,0,24
1981-09-01,22.5,9.3,15.9,41.2,0,41.2
1981-10-01,13.4,2.8,8.1,16.4,0,16.4
1981-11-01,9.1,0.8,5,14.3,1.1,15
1981-12-01,1,-6.9,-3,4.5,39,32.6
1982-01-01,-4.1,-12.1,-8.1,0.2,75.7,58.1
1982-02-01,2.8,-5.1,-1.2,3.4,9.5,10.8
1982-03-01,9.5,-2.7,3.4,7.2,7,13.5
1982-04-01,14.8,0.7,7.8,3.1,0,3.1
1982-05-01,20.9,6.2,13.6,15.3,0,15.3
1982-06-01,28.6,12.8,20.7,34.8,0,34.8
1982-07-01,25.7,13.1,19.4,47.3,0,47.3
1982-08-01,26.1,12.5,19.3,23.8,0,23.8
1982-09-01,21.8,9.5,15.7,50.9,0,50.9
1982-10-01,13.7,3.6,8.7,11.2,0,11.2
1982-11-01,2.6,-4.4,-0.9,3.8,11.8,11.7
1982-12-01,1.7,-4.6,-1.5,8.6,6.4,14.2
1983-01-01,3.7,-1.9,0.9,16.1,13.2,27.6
1983-02-01,6.9,0,3.5,12.8,1.3,14.1
1983-03-01,11.7,0.4,6.1,14.1,1,14.5
1983-04-01,16.6,2.6,9.6,68.4,0,68.4
1983-05-01,23.7,7.3,15.5,13.6,0,13.6
1983-06-01,24,11.7,17.9,25.5,0,25.5
1983-07-01,26.3,12.3,19.3,28.3,0,28.3
1983-08-01,28.9,13.6,21.3,9.1,0,9.1
1983-09-01,19.6,6.8,13.2,46.8,0,46.8
1983-10-01,14.7,2.7,8.7,8.1,0,8.1
1983-11-01,8,1.7,4.9,23.8,1.8,25.6
1983-12-01,-5.8,-12.7,-9.3,0,29.3,26.8
1984-01-01,0.2,-6.7,-3.3,8.9,14.8,21.9
1984-02-01,5.8,-1.8,2,4.4,2.3,6.5
1984-03-01,12.2,1,6.6,16.5,0,16.7
1984-04-01,15,3.3,9.2,20.4,0,20.4
1984-05-01,17.9,5.4,11.7,24.5,0,24.5
1984-06-01,23.4,11.1,17.3,31.7,0,31.7
1984-07-01,29.7,13.3,21.5,15.5,0,15.5
1984-08-01,28.1,13.2,20.7,26.4,0,26.4
1984-09-01,18.7,7.4,13.1,25.5,0,25.5
1984-10-01,11.9,1.9,6.9,7.7,2.6,9.6
1984-11-01,3.6,-2.6,0.5,7.9,26.2,28.6
1984-12-01,-4.8,-11,-7.9,5,42.4,34.1
1985-01-01,-1.5,-6.5,-4,4.4,2.6,7
1985-02-01,1.7,-7.1,-2.7,2.9,39.3,28
1985-03-01,10,-2.3,3.9,2.8,1.8,4.6
1985-04-01,15.8,2.6,9.2,16.3,0,16.3
1985-05-01,22.4,8,15.2,25.8,0,25.8
1985-06-01,24.8,11.1,18,32.5,0,32.5
1985-07-01,32.4,14.7,23.6,14,0,14
1985-08-01,27,12.5,19.8,31,0,31
1985-09-01,18.1,6.8,12.5,85.2,0,85.2
1985-10-01,12.9,3.7,8.3,28.4,0,28.4
1985-11-01,-4.6,-11.4,-8,5.2,6.9,10.6
1985-12-01,-2.7,-7.8,-5.3,0,19.6,13.3
1986-01-01,3.2,-2.6,0.3,7.3,25,23.4
1986-02-01,0.7,-6.9,-3.1,2.2,34.1,28.5
1986-03-01,12.5,0.9,6.7,3.9,0,3.9
1986-04-01,14.2,2.9,8.6,10.7,0,10.7
1986-05-01,21,7.9,14.5,19.2,0,19.2
1986-06-01,26.4,12.2,19.3,53.7,0,53.7
1986-07-01,24.6,12.8,18.7,56.2,0,56.2
1986-08-01,30,13.9,22,13.9,0,13.9
1986-09-01,19.6,8.2,13.9,30.5,0,30.5
1986-10-01,14.3,2.6,8.5,3.1,0,3.1
1986-11-01,5.4,-2.8,1.3,3.5,32,27.7
1986-12-01,1.4,-4.1,-1.4,10.4,7,18.3
1987-01-01,2.4,-4,-0.8,0.4,10.3,7.8
1987-02-01,6.9,-1.4,2.8,3.6,8.3,12.3
1987-03-01,13.1,1,7.1,4.7,0,4.7
1987-04-01,18.3,4.6,11.5,24.8,0,24.8
1987-05-01,22.7,7.9,15.3,8.2,0,8.2
1987-06-01,28,13.2,20.6,11.5,0,11.5
1987-07-01,27.8,14.7,21.3,21.4,0,21.4
1987-08-01,27.2,12,19.6,14.7,0,14.7
1987-09-01,26,9.2,17.6,11.8,0,11.8
1987-10-01,15.6,2.6,9.1,5.8,0,5.8
1987-11-01,8.4,1.5,5,12.7,2,14.7
1987-12-01,2.1,-4.8,-1.4,13.4,12.7,24.1
1988-01-01,-0.6,-7.9,-4.3,0,6.2,4.9
1988-02-01,4.7,-4.5,0.1,1.6,13.6,9.7
1988-03-01,11,-0.6,5.2,7,0,7
1988-04-01,18.1,4.6,11.4,17.4,0,17.4
1988-05-01,21.4,7.7,14.6,18,0,18
1988-06-01,24.9,11.8,18.4,30.8,0,30.8
1988-07-01,28.5,13.1,20.8,24.5,0,24.5
1988-08-01,26.7,12.9,19.8,40.7,0,40.7
1988-09-01,21.6,8.3,15,59,0,59
1988-10-01,13.7,4.9,9.3,21.6,0,21.6
1988-11-01,7.7,-0.2,3.8,4.3,3.4,7.2
1988-12-01,1.2,-4.1,-1.5,7.6,18.7,24.4
1989-01-01,1.3,-8.1,-3.4,0.7,15,10
1989-02-01,-1.5,-11.4,-6.5,3.9,3,6.9
1989-03-01,9.9,-1.4,4.3,9.8,0.2,10
1989-04-01,18.6,3.2,10.9,9.6,0,9.6
1989-05-01,21.4,7.3,14.4,48.7,0,48.7
1989-06-01,26.1,11.8,19,36.8,0,36.8
1989-07-01,29.3,13.2,21.3,41.8,0,41.8
1989-08-01,26,12.4,19.2,72.8,0,72.8
1989-09-01,23.1,8,15.6,13.6,0,13.6
1989-10-01,14.5,3.4,9,15.4,0,17.8
1989-11-01,6.5,-1.2,2.7,21.6,4.7,25.8
1989-12-01,2.3,-3,-0.4,7.9,19.8,20.4
1990-01-01,2.2,-4.8,-1.3,2.4,16.8,22.5
1990-02-01,2.5,-7.6,-2.6,3.4,10.6,10.5
1990-03-01,12.3,-1.7,5.3,0.4,0,0.4
