Date,mean_max_temp,mean_min_temp,mean_temp,total_rain_mm,total_snow_cm,total_precipitate_mm
1951-01-01,-2.6,-10.7,-6.7,1.5,47.8,49.3
1951-02-01,-0.4,-10.3,-5.4,18,32.3,50.3
1951-03-01,3.9,-6.7,-1.4,3.6,11.9,15.5
1951-04-01,17.4,-0.1,8.7,0,0,0
1951-05-01,21.4,7.5,14.5,14.2,0,14.2
1951-06-01,25.4,9.2,17.3,15.7,0,15.7
1951-07-01,30.7,12,21.4,19.3,0,19.3
1951-08-01,28,11.2,19.6,16,0,16
1951-09-01,23.2,7.9,15.6,23.9,0,23.9
1951-10-01,10.9,3.6,7.3,40.4,0,40.4
1951-11-01,5.4,-2.2,1.6,15.7,0,15.7
1951-12-01,-4.9,-11.2,-8.1,2,49,51.1
1952-01-01,-5.2,-14.2,-9.7,0,33.3,33.3
1952-02-01,2.6,-5.3,-1.4,8.4,17,25.4
1952-03-01,7.9,-1.9,3,6.9,3.8,10.7
1952-04-01,16.8,3.6,10.2,3.6,0,3.6
1952-05-01,21.8,5.9,13.9,3,0,3
1952-06-01,23.3,9.4,16.4,46.5,0,46.5
1952-07-01,28.4,11.8,20.1,23.9,0,23.9
1952-08-01,28.5,11.6,20.1,11.2,0,11.2
1952-09-01,24.9,7.3,16.1,3.8,0,3.8
1952-10-01,17,2.2,9.6,5.3,0,5.3
1952-11-01,5.4,-3,1.2,0,0,0
1952-12-01,3.6,-2.9,0.4,3.8,7.9,11.7
1953-01-01,2.6,-5.4,-1.4,10.2,19.3,29.5
1953-02-01,4.6,-2.4,1.1,11.4,16.5,27.9
1953-03-01,11.3,-0.6,5.4,1.8,0.5,2.3
1953-04-01,14.6,1.9,8.3,7.4,1,8.4
1953-05-01,22.3,6.4,14.4,13.5,0,13.5
1953-06-01,22.1,10.4,16.3,78.7,0,78.7
1953-07-01,28.2,11.1,19.7,6.4,0,6.4
1953-08-01,27.9,11.4,19.7,15.7,0,15.7
1953-09-01,23.2,7.6,15.4,10.2,0,10.2
1953-10-01,15.7,4.6,10.2,7.4,0,7.4
1953-11-01,9.2,1.1,5.2,9.4,0,9.4
1953-12-01,2.9,-4.1,-0.6,11.2,20.6,31.8
