date,mean_max_temp,mean_min_temp,mean_temp,total_rain_mm,total_snow_cm,total_precipitate_mm
2009-01-01,-2,-8.7,-5.4,1.8,14,14.4
2009-02-01,1,-7.2,-3.1,1.2,6.1,6.3
2009-03-01,7.3,-2.5,2.4,7.4,2.4,9.6
2009-04-01,16.6,2.5,9.6,10.8,0,10.8
2009-05-01,22.3,7.5,14.9,29,0,29
2009-06-01,27.3,11.9,19.6,6.1,0,6.1
2009-07-01,32.7,15.4,24.1,18.6,0,18.6
2009-08-01,30.5,14.9,22.7,1.7,0,1.7
2009-09-01,25.4,11.3,18.4,33.9,0,33.9
2009-10-01,12.2,2.3,7.3,36.8,0,36.8
2009-11-01,8.8,1.1,5,5.6,0,5.6
2009-12-01,-3.1,-9.4,-6.3,0,10.2,11.1
2010-01-01,4.3,-1.5,1.4,8.8,10,17.4
2010-02-01,7.3,0.1,3.7,11.4,0,11.4
2010-03-01,12.8,1.4,7.1,18.2,2.8,20.6
2010-04-01,16.6,3.7,10.2,13,0.8,13.8
2010-05-01,20,6.8,13.5,54.6,0,54.6
2010-06-01,24.1,11.5,17.8,36.3,0,36.3
2010-07-01,30.7,13.8,22.3,14.8,0,14.8
2010-08-01,28.1,13.2,20.7,15.4,0,15.4
2010-09-01,21.2,9.9,15.6,55,0,55
2010-10-01,16.1,4.5,10.3,5.8,0,5.8
2010-11-01,4.2,-3.8,0.2,11.8,12.1,21.3
2010-12-01,2,-3.5,-0.8,0.6,9.8,11.2
2011-01-01,-0.5,-6.3,-3.4,2.8,27.6,25
2011-02-01,0.8,-7.7,-3.5,2.7,12.2,16.5
2011-03-01,9.7,0,4.9,11.2,19.8,30
2011-04-01,14,1.9,8,11.6,0,11.6
2011-05-01,19.7,7,13.4,53.6,0,53.6
2011-06-01,23.8,11.6,17.7,21.5,0,21.5
2011-07-01,26.9,13.2,20.1,39.2,0,39.2
2011-08-01,29.6,13.5,21.6,0.2,0,0.2
2011-09-01,26.2,10.5,18.4,7.2,0,7.2
2011-10-01,14.3,4.2,9.3,13.4,0,13.4
2011-11-01,5.9,-2.8,1.6,8.8,4.4,11.7
2011-12-01,2.9,-4.8,-1,0.2,4.4,4.2
2012-01-01,1.4,-6.2,-2.4,0.6,17.4,14.8
2012-02-01,3.8,-3.3,0.3,10.1,17.5,25.5
2012-03-01,11,-0.1,5.5,3.5,2.8,6.3
2012-04-01,16.9,4.2,10.6,25.4,0,25.4
2012-05-01,21.2,7.2,14.2,8.3,0,8.3
2012-06-01,22.2,11.2,16.7,74.4,0,74.4
2012-07-01,30.3,14.9,22.6,49.2,0,49.2
2012-08-01,30.5,14.4,22.5,10,0,10
2012-09-01,25.2,8.5,16.8,7.8,0,7.8
2012-10-01,14.6,3.7,9.2,16.9,0,16.9
2012-11-01,7.1,0.8,4,11.4,9.6,20.7
2012-12-01,2.3,-3.4,-0.6,4.8,37.5,36.4
